age,education_level,years_of_experience,technical_test_score,interview_score,previous_employment,suitable_for_employment
56.0,Bachelor's,32,73.9,5.3,No,Yes
46.0,Bachelor's,22,82.4,3.8,No,No
32.0,Bachelor's,9,43.6,7.1,Yes,No
60.0,High School,40,62.2,6.4,Yes,Yes
25.0,Master's,0,71.0,8.5,Yes,Yes
38.0,Master's,12,49.1,5.6,Yes,No
56.0,Bachelor's,32,47.4,6.0,No,No
36.0,Bachelor's,13,62.3,6.2,No,No
40.0,Bachelor's,16,81.0,6.7,Yes,Yes
28.0,Bachelor's,5,77.9,5.7,Yes,No
28.0,Master's,2,47.8,5.4,No,No
41.0,Bachelor's,17,78.0,2.8,Yes,No
53.0,Bachelor's,29,48.3,5.4,Yes,No
57.0,Bachelor's,33,32.8,7.9,Yes,Yes
41.0,Bachelor's,19,57.7,8.2,Yes,Yes
20.0,High School,1,87.5,5.6,No,No
39.0,High School,21,78.1,9.1,No,Yes
19.0,High School,0,65.0,6.4,Yes,No
41.0,Bachelor's,17,56.7,3.8,Yes,No
61.0,Master's,36,57.2,3.2,Yes,Yes
47.0,Master's,22,67.2,8.9,Yes,Yes
55.0,Bachelor's,32,43.6,5.8,No,No
19.0,High School,0,58.0,4.1,Yes,No
38.0,High School,18,60.7,2.0,No,No
50.0,Bachelor's,,38.0,5.7,Yes,No
29.0,Bachelor's,7,48.2,7.3,Yes,No
39.0,Bachelor's,16,73.2,5.1,Yes,No
61.0,High School,42,65.2,4.4,Yes,Yes
42.0,High School,24,58.8,5.4,Yes,No
44.0,High School,26,46.8,9.0,Yes,Yes
59.0,High School,41,96.5,3.7,Yes,Yes
45.0,Master's,21,48.2,5.2,No,No
33.0,High School,14,70.0,8.9,Yes,Yes
32.0,Bachelor's,10,55.2,7.5,Yes,No
64.0,Bachelor's,,65.7,6.9,Yes,Yes
61.0,Master's,36,74.2,5.2,Yes,Yes
20.0,Master's,0,37.6,6.6,Yes,No
54.0,Master's,29,64.9,5.4,Yes,Yes
24.0,High School,5,88.8,4.8,Yes,No
38.0,Bachelor's,14,100.0,4.3,Yes,Yes
26.0,Master's,2,62.4,8.1,Yes,Yes
56.0,High School,38,65.8,6.4,Yes,Yes
35.0,Bachelor's,11,100.0,7.1,No,Yes
21.0,Master's,0,87.7,6.8,No,No
42.0,Bachelor's,19,52.7,7.4,No,No
31.0,High School,12,52.6,6.0,Yes,No
26.0,High School,7,84.1,5.5,No,No
43.0,Bachelor's,21,44.8,4.9,No,No
19.0,High School,1,86.8,3.7,No,No
37.0,Bachelor's,13,71.7,4.3,Yes,No
45.0,Master's,20,75.4,5.8,Yes,Yes
64.0,High School,44,59.9,3.3,No,No
24.0,Master's,0,52.4,3.7,No,No
61.0,Bachelor's,37,94.2,8.6,Yes,Yes
25.0,High School,7,60.1,6.9,Yes,No
64.0,Master's,39,56.8,5.6,Yes,Yes
52.0,Master's,27,63.4,10.0,Yes,Yes
31.0,Bachelor's,9,68.9,3.2,No,No
34.0,Master's,10,44.4,8.5,Yes,Yes
53.0,Master's,29,53.7,6.3,Yes,Yes
